Wall time,Step,Value
1638196690,56787,1
1638196690,56820,1
1638196693,57305,1
1638196695,57484,1
1638196701,58440,1
1638196702,58556,1
1638196703,58719,1
1638196703,58746,1
1638196703,58763,1
1638196707,59264,1
1638196707,59311,1
1638196708,59432,1
1638196709,59640,1
1638196710,59670,1
1638196713,60179,1
1638196713,60185,1
1638196713,60207,1
1638196714,60297,1
1638196715,60475,1
1638196720,61205,1
1638196721,61276,1
1638196724,61680,1
1638196727,62139,1
1638196727,62219,1
1638196730,62516,1
1638196730,62547,1
1638196732,62874,1
1638196733,63024,1
1638196734,63220,1
1638196736,63513,1
1638196738,63671,1
1638196739,63865,1
1638196744,64521,1
1638196745,64687,1
1638196746,64889,1
1638196749,65292,1
1638196751,65601,1
1638196751,65643,1
1638196754,66049,1
1638196756,66298,1
1638196759,66787,1
1638196761,66976,1
1638196761,67021,1
1638196764,67440,1
1638196770,68281,1
1638196770,68378,1
1638196771,68429,1
1638196772,68590,1
1638196776,69171,1
1638196776,69185,1
1638196778,69455,1
1638196780,69719,1
1638196780,69798,1
1638196781,69915,1
1638196785,70462,1
1638196786,70580,1
1638196786,70656,1
1638196788,70915,1
1638196788,70996,1
1638196791,71428,1
1638196792,71554,1
1638196792,71580,1
1638196793,71696,1
1638196795,71906,1
1638196795,71957,1
1638196795,71979,1
1638196795,72012,1
1638196795,72037,1
1638196797,72297,1
1638196797,72299,1
1638196798,72401,1
1638196798,72404,1
1638196799,72558,1
1638196800,72723,1
1638196801,72873,1
1638196802,73009,1
1638196803,73179,1
1638196807,73794,1
1638196808,73841,1
1638196808,73901,1
1638196808,73924,1
1638196810,74187,1
1638196815,74901,1
1638196819,75487,1
1638196820,75567,1
1638196822,75928,1
1638196824,76218,1
1638196826,76431,1
1638196826,76482,1
1638196827,76626,1
1638196827,76673,1
1638196828,76790,1
1638196829,76906,1
1638196829,76913,1
1638196831,77198,1
1638196834,77530,1
1638196836,77901,1
1638196838,78135,1
1638196838,78208,1
1638196842,78775,1
1638196843,78843,1
1638196843,78920,1
1638196843,78934,1
1638196844,78973,1
1638196844,79005,1
1638196847,79418,1
1638196848,79597,1
1638196850,79975,1
1638196851,80031,1
1638196851,80100,1
1638196852,80165,1
1638196853,80390,1
1638196853,80406,1
1638196854,80550,1
1638196855,80576,1
1638196855,80613,1
1638196857,80996,1
1638196858,81015,1
1638196858,81117,1
1638196860,81381,1
1638196861,81494,1
1638196861,81529,1
1638196870,82736,1
1638196870,82770,1
1638196870,82849,1
1638196873,83267,1
1638196877,83762,1
1638196880,84197,1
1638196882,84409,1
1638196883,84601,1
1638196883,84686,1
1638196884,84818,1
1638196886,85089,1
1638196887,85169,1
1638196889,85508,1
1638196889,85539,1
1638196890,85572,1
1638196890,85686,1
1638196891,85749,1
1638196893,86014,1
1638196898,86780,1
1638196899,86865,1
1638196900,87008,1
1638196902,87393,1
1638196902,87450,1
1638196904,87666,1
1638196905,87829,1
1638196907,88137,1
1638196911,88674,1
1638196912,88815,1
1638196915,89262,1
1638196915,89347,1
1638196916,89363,1
1638196918,89745,1
1638196920,89973,1
1638196920,90035,1
1638196921,90237,1
1638196923,90450,1
1638196927,91094,1
1638196929,91300,1
1638196931,91624,1
1638196931,91644,1
1638196931,91647,1
1638196932,91732,1
1638196932,91735,1
1638196935,92120,1
1638196939,92729,1
1638196939,92788,1
1638196942,93126,1
1638196942,93223,1
1638196944,93471,1
1638196947,93901,1
1638196951,94536,1
1638196953,94784,1
1638196955,95057,1
1638196956,95184,1
1638196957,95321,1
1638196957,95377,1
1638196958,95409,1
1638196958,95480,1
1638196961,95860,1
1638196961,95949,1
1638196962,95972,1
1638196964,96301,1
1638196966,96535,1
1638196966,96600,1
1638196970,97156,1
1638196970,97226,1
1638196972,97416,1
1638196973,97596,1
1638196975,97796,1
1638196975,97876,1
1638196976,97986,1
1638196978,98212,1
1638196979,98404,1
1638196979,98474,1
1638196980,98523,1
1638196984,99055,1
1638196987,99506,1
1638196988,99612,1
1638196988,99614,1
1638196989,99884,1
1638196994,100566,1
1638196994,100589,1
1638196995,100751,1
1638196996,100858,1
1638196996,100917,1
1638196997,100997,1
1638196997,101072,1
1638196998,101155,1
1638196998,101234,1
1638196999,101335,1
1638197000,101431,1
1638197000,101499,1
1638197003,101923,1
1638197003,101943,1
1638197006,102307,1
1638197007,102509,1
1638197007,102541,1
1638197008,102595,1
1638197008,102685,1
1638197010,102880,1
1638197010,102911,1
1638197010,102966,1
1638197010,103001,1
1638197010,103011,1
1638197012,103206,1
1638197014,103517,1
1638197017,103947,1
1638197019,104276,1
1638197019,104334,1
1638197022,104704,1
1638197023,104822,1
1638197023,104882,1
1638197024,104896,1
1638197024,104911,1
1638197024,104924,1
1638197025,105093,1
1638197027,105434,1
1638197029,105610,1
1638197030,105774,1
1638197030,105788,1
1638197033,106210,1
1638197033,106267,1
1638197034,106390,1
1638197036,106566,1
1638197036,106666,1
1638197039,107103,1
1638197044,107764,1
1638197045,107837,1
1638197049,108449,1
1638197050,108586,1
1638197055,109242,1
1638197055,109243,1
1638197055,109301,1
1638197057,109501,1
1638197059,109822,1
1638197061,110063,1
1638197061,110191,1
1638197062,110224,1
1638197063,110418,1
1638197064,110586,1
1638197065,110641,1
1638197065,110737,1
1638197068,111194,1
1638197069,111235,1
1638197069,111323,1
1638197071,111545,1
1638197072,111698,1
1638197073,111915,1
1638197077,112470,1
1638197079,112664,1
1638197079,112703,1
1638197080,112902,1
1638197083,113322,1
1638197085,113589,1
1638197086,113741,1
1638197088,113980,1
1638197090,114292,1
1638197091,114459,1
1638197093,114820,1
1638197095,115096,1
1638197095,115149,1
1638197098,115506,1
1638197098,115518,1
1638197100,115765,1
1638197101,115878,1
1638197102,116039,1
1638197105,116453,1
1638197106,116673,1
1638197106,116711,1
1638197107,116783,1
1638197107,116822,1
1638197108,117016,1
1638197109,117030,1
1638197109,117047,1
1638197109,117155,1
1638197113,117635,1
1638197115,117825,1
1638197115,117941,1
1638197117,118161,1
1638197117,118190,1
1638197121,118651,1
1638197122,118908,1
1638197122,118937,1
1638197123,118998,1
1638197125,119302,1
1638197126,119470,1
1638197130,119979,1
1638197138,121192,1
1638197138,121193,1
1638197139,121332,1
1638197139,121362,1
1638197140,121403,1
1638197143,121835,1
1638197143,121877,1
1638197146,122205,1
1638197148,122622,1
1638197148,122634,1
1638197149,122739,1
1638197151,123068,1
1638197155,123609,1
1638197155,123633,1
1638197156,123666,1
1638197159,124103,1
1638197159,124197,1
1638197162,124532,1
1638197164,124760,1
1638197164,124818,1
1638197166,125043,1
1638197167,125290,1
1638197175,126444,1
1638197177,126687,1
1638197179,126935,1
1638197180,126988,1
1638197180,127097,1
1638197181,127230,1
1638197183,127414,1
1638197184,127542,1
1638197184,127637,1
1638197185,127785,1
1638197186,127817,1
1638197186,127878,1
1638197186,127896,1
1638197188,128112,1
1638197189,128304,1
1638197190,128408,1
1638197193,128852,1
1638197195,129146,1
1638197196,129318,1
1638197197,129406,1
1638197197,129418,1
1638197197,129426,1
1638197198,129502,1
1638197198,129545,1
1638197201,129925,1
1638197202,130071,1
1638197206,130703,1
1638197208,130926,1
1638197212,131491,1
1638197212,131502,1
1638197213,131680,1
1638197213,131734,1
1638197214,131876,1
1638197220,132676,1
1638197222,132916,1
1638197224,133206,1
1638197225,133318,1
1638197226,133528,1
1638197227,133600,1
1638197229,133860,1
1638197230,134007,1
1638197233,134376,1
1638197233,134389,1
1638197233,134474,1
1638197236,134877,1
1638197237,134983,1
1638197241,135615,1
1638197243,135872,1
1638197246,136209,1
1638197246,136280,1
1638197247,136358,1
1638197249,136673,1
1638197249,136678,1
1638197249,136693,1
1638197251,137023,1
1638197251,137055,1
1638197253,137252,1
1638197254,137482,1
1638197255,137565,1
1638197255,137584,1
1638197256,137687,1
1638197258,137966,1
1638197261,138444,1
1638197261,138472,1
1638197262,138558,1
1638197264,138939,1
1638197267,139258,1
1638197268,139403,1
1638197268,139449,1
1638197272,139975,1
1638197272,140015,1
